,0,1
0,4.359623,-1.414306
1,-1.914355,2.1432407
2,1.98383,-1.9658346
3,2.197862,-1.8843801
4,1.128198,2.0625381
5,-3.8789666,-0.5297335
6,-1.1806531,2.1146803
7,5.079535,0.06534214
8,5.0374193,-1.1384709
9,2.2837803,-2.1952064
10,3.370148,-1.9266577
11,1.3823044,1.1112258
12,2.3107507,-2.0143929
13,-2.5759919,1.5465344
14,4.0710826,-1.2781253
15,1.1884586,-2.1308432
16,5.1980143,0.29805475
17,3.697469,-1.3303231
18,4.6905127,-0.99030244
19,2.2820425,0.18072127
20,-4.0675936,-0.826965
21,1.8969942,1.2247858
22,1.471991,1.5666933
23,4.7820067,-0.9256239
24,4.860869,-0.5947527
25,4.8549905,-0.32820892
26,-0.55398774,2.3414927
27,0.93270487,1.6913224
28,2.2293231,0.7103924
29,2.1635025,-2.2449408
30,3.2430167,-1.9565656
31,2.6136732,-1.5445863
32,-1.1117843,2.2490456
33,0.99431527,1.8121904
34,4.1699543,-2.0309796
35,-3.2215755,-0.40897796
36,-2.753058,1.5459229
37,-2.991055,1.2232156
38,-2.3234649,1.8801054
39,1.4450036,0.33916625
40,-0.11747182,-0.62615174
41,2.854263,-2.209425
42,2.1441026,-0.6490846
43,0.08526652,2.6192286
44,-3.6264231,-0.47108904
45,4.227728,-1.5064191
46,-1.4865183,2.0625377
47,2.1637745,0.36735442
48,-2.7852533,1.5304216
49,1.9749593,-1.9653151
50,5.2324634,-0.89560896
51,-1.2648481,2.1366608
52,-3.5646472,0.2723346
53,0.12191241,-1.2781059
54,1.9335824,0.328973
55,-1.7754217,-0.18751551
56,4.704841,-0.98910534
57,-1.1707628,0.5230914
58,-2.3534997,1.7848057
59,3.1591024,-1.9350034
60,-3.6200974,0.7646889
61,-1.2552437,2.081631
62,1.5601734,1.6362352
63,-3.6204205,0.42194492
64,-1.6943091,-0.26535076
65,1.2542225,-1.9457095
66,1.8870987,1.2427897
67,-3.8218732,-0.16018869
68,-1.9339924,1.9869884
69,-2.6221604,1.6286293
70,0.16242255,2.4814456
71,1.1021284,-2.0881062
72,2.4075074,-2.0531828
73,5.301532,0.6208224
74,3.9133656,1.0222621
75,-0.2723785,-1.1163468
